sequenceNo,scenario,objectName,objectValue,executedValue,keywordIdentifier,scope,frameLocatorsPriority
0,Scenario: 1 Create a course_PROJ-1001,UserId,xpath:(//span[text()='Username']/following::input)[1],,aaa0000000000000000000a1,object,
1,Scenario: 1 Create a course_PROJ-1001,Password,xpath://input[@type='password'],,aaa0000000000000000000a2,object,
2,Scenario: 1 Create a course_PROJ-1001,SignIn,xpath://span[text()='Next'],,aaa0000000000000000000a3,object,
3,Scenario: 1 Create a course_PROJ-1001,Navigator,xpath://a[@title='Navigator'],,aaa0000000000000000000a4,application,
4,Scenario: 1 Create a course_PROJ-1001,MyClientGroups,xpath:.//div[@id='pt1:_UISnvr:0:nvgpgl2_groupNode_workforce_management']//div[1],,aaa0000000000000000000a5,object,
5,Scenario: 1 Create a course_PROJ-1001,Learning,xpath:.//a[text()='Learning'],,aaa0000000000000000000a6,application,
6,Scenario: 1 Create a course_PROJ-1001,Courses,xpath:.//div[1]/a[text()='Courses'],,aaa0000000000000000000a7,application,
7,Scenario: 1 Create a course_PROJ-1001,CreateButton,xpath:.//a/span[text()='Create'],,aaa0000000000000000000a8,application,
8,Scenario: 1 Create a course_PROJ-1001,Title,"xpath:.//span[contains(@id,'ttlInp')]/input[1]",,aaa0000000000000000000a9,application,
9,Scenario: 1 Create a course_PROJ-1001,StartDate,"xpath:.//span[contains(@id,'sdDt')]/input[1]",,aaa0000000000000000000b1,application,
10,Scenario: 1 Create a course_PROJ-1001,CourseNumber,"xpath:.//div[contains(@id,'crnmLbl')]/div[2]/span[1]",,aaa0000000000000000000b2,object,
11,Scenario: 1 Create a course_PROJ-1001,Category,"xpath:.//span[contains(@id,'trainingCategory')]/input[1]",,aaa0000000000000000000b3,application,
12,Scenario: 1 Create a course_PROJ-1001,SaveAndClose,"xpath:.//button[text()=""Save and Close""]",,aaa0000000000000000000b4,application,
0,Scenario: 2 Search and approve_PROJ-1002,UserId,xpath:(//span[text()='Username']/following::input)[1],,bbb0000000000000000000a1,object,
1,Scenario: 2 Search and approve_PROJ-1002,Password,xpath://input[@type='password'],,bbb0000000000000000000a2,object,
2,Scenario: 2 Search and approve_PROJ-1002,SignIn,xpath://span[text()='Next'],,bbb0000000000000000000a3,object,
3,Scenario: 2 Search and approve_PROJ-1002,Navigator,xpath://a[@title='Navigator'],,bbb0000000000000000000a4,application,
4,Scenario: 2 Search and approve_PROJ-1002,SearchBox,xpath:.//input[@placeholder='Enter a search term.'],,bbb0000000000000000000a5,application,
5,Scenario: 2 Search and approve_PROJ-1002,Notifications,xpath:.//a[@aria-label='Notifications'],,bbb0000000000000000000a6,application,
6,Scenario: 2 Search and approve_PROJ-1002,ApproveButton,xpath:.//button[text()='Approve'],,bbb0000000000000000000a7,application,
